id,name,type,description,alias,book
西游记_人物_一秤金_0,一秤金,人物,"[{'47': '陈澄的女儿，八岁。名字因其父修桥补路等花费三十斤黄金（一秤）而来。被灵感大王选中为童女，后八戒变作她的模样代祭。'}, {'48': '陈清之女，被用作祭献灵感大王的童女，实为八戒变化代替。'}, {'99': '陈清之女，曾被用来祭赛，后为唐僧所救。本回中出来叩谢。'}]",陈一秤金,西游记
西游记_人物_七个蜘蛛精_0,七个蜘蛛精,人物,"[{'72': '盘丝洞中的七个女怪，能腰中冒出丝绳。她们捉住唐僧吊起，去濯垢泉洗澡时衣服被行者叼走，八戒下水戏弄她们，后逃回洞中唤出干儿子虫蛭迎敌。'}, {'73': '盘丝洞的七个女怪，能吐丝绳（蛛丝），与百眼魔君同堂学艺，曾欲吃唐僧肉，被孙悟空用铁棒打死。'}]",七个妖精,西游记
西游记_人物_七仙姑_0,七仙姑,人物,[{'72': '上方的七位仙姑，原是濯垢泉的主人，后让给了妖精居住。'}],[],西游记
西游记_人物_万圣公主_0,万圣公主,人物,"[{'62': '万圣龙王的女儿，花容月貌，招九头驸马为婿，偷了王母娘娘的九叶灵芝草温养宝物。'}, {'63': '万圣龙王的女儿，九头驸马的妻子，曾私入大罗天灵霄殿偷取王母娘娘的九叶灵芝草以温养舍利子，后被打死。'}]",万圣宫主,西游记
西游记_人物_万圣龙王_0,万圣龙王,人物,"[{'62': '乱石山碧波潭的龙王，三年前与九头驸马下血雨、偷舍利子佛宝，差遣奔波儿灞和灞波儿奔巡塔。'}, {'63': '乱石山碧波潭龙王，与九头驸马合谋偷走祭赛国金光寺塔顶舍利佛宝，被孙悟空一棒打死，血溅潭中。'}]",[],西游记
西游记_人物_万岁狐王_0,万岁狐王,人物,[{'60': '已死的狐王，遗下女儿玉面公主和百万家私，玉面公主因此招赘牛魔王。'}],[],西游记
西游记_人物_三宫妃后_0,三宫妃后,人物,[{'40': '乌鸡国国王的妃嫔们，与国王、太子一同送行。'}],[],西游记
西游记_人物_三宫妃后_1,三宫妃后,人物,[{'85': '钦法国国王的后妃们，随国王一同拜见唐僧。'}],[],西游记
西游记_人物_三宫皇后_0,三宫皇后,人物,[{'46': '国王的皇后，又称梓童，亲手将山河社稷袄、乾坤地理裙放入柜中，后物品变成破烂流丢一口钟，国王知情后让她退下。'}],[],西游记
西游记_人物_三王子_0,三王子,人物,"[{'88': '玉华王的三子，使用乌油黑棒子。欲拜师，后得沙僧传授神力，能举起降妖宝杖。'}, {'89': '玉华州老王子的三个儿子，拜唐僧徒弟为师学习武艺。发现兵器丢失后惊慌报告。'}, {'90': '玉华王的三王子，拜师学习武艺，被九灵元圣噙走。'}]",小王子,西游记
西游记_人物_三皇_0,三皇,人物,[{'1': '治世的圣皇，与五帝共同定伦世界。'}],[],西游记
西游记_人物_三魔_0,三魔,人物,[{'76': '即三怪。激将行者出肚，摆阵对敌，后设计调虎离山，举画杆方天戟攻击行者。曾建议老魔咬行者。'}],[],西游记
西游记_人物_上官正_0,上官正,人物,[{'87': '凤仙郡郡侯，姓上官，名正。因三年前推倒斋天素供喂狗、口出秽言冒犯天地，导致连年干旱。后听行者劝告皈依向善，启建道场，终得甘雨。'}],[],西游记
西游记_人物_上清灵宝天尊_0,上清灵宝天尊,人物,[{'7': '三清之一，赴安天大会。'}],[],西游记
西游记_人物_不坏尊王永住金刚_0,不坏尊王永住金刚,人物,"[{'61': '昆仑山金霞岭不坏尊王永住金刚，领西天大雷音寺佛老亲言把截。'}, {'77': '四大金刚之一，在灵山鹫峰下挡住孙悟空，喝斥他无礼。'}]",永住金刚,西游记
西游记_人物_世静光佛_0,世静光佛,人物,[{'100': '在结尾佛号中被提及的佛名。'}],[],西游记
西游记_人物_丘天师_0,丘天师,人物,"[{'8': '南天门的天师之一。'}, {'92': '四大天师之一，在通明殿值勤。'}]",邱天师,西游记
西游记_人物_丘弘济_0,丘弘济,人物,[{'51': '四天师之一，在灵霄殿前迎着孙悟空。'}],[],西游记
西游记_人物_东华帝君_0,东华帝君,人物,[{'79': '寿星提及的人物，曾与寿星下棋，导致白鹿逃走。'}],[],西游记
西游记_人物_东城兵马使_0,东城兵马使,人物,[{'85': '钦法国文官，与巡城总兵官一同获得贼赃，上朝请旨。'}],[],西游记
西游记_人物_东岳天齐_0,东岳天齐,人物,"[{'56': '东岳泰山神，又称东岳大帝，孙悟空称东岳天齐怖他。'}, {'69': '东岳泰山神，孙悟空说赛太岁像其手下的醮面金睛鬼，但被八戒否定。'}]",[],西游记
西游记_人物_东来佛祖_0,东来佛祖,人物,[{'66': '又称弥勒笑和尚、弥勒、佛祖，收伏黄眉大王，拥有后天袋子和敲磬槌儿，设瓜田计擒妖。'}],[],西游记
西游记_人物_东海龙王敖广_0,东海龙王敖广,人物,"[{'3': '东海龙王，孙悟空紧邻。被迫献出如意金箍棒及藕丝步云履、锁子黄金甲、凤翅紫金冠等披挂，后上表天庭告状。'}, {'41': '东海龙王，率龙子龙孙虾兵蟹将迎接孙悟空，并召来其他三海龙王助雨。'}, {'45': '四海龙王之一，被孙大圣喝问，后听从孙大圣命令下雨，并应召现出龙身于金銮殿。'}, {'69': '东海龙王，应孙悟空召唤前来助无根水。因未带雨器，便打喷嚏吐涎津，化作甘霖降下供国王下药。'}, {'87': '东海老龙王。被行者念动真言唤来，但因未奉上天御旨不敢擅自降雨，后回海点兵。'}]",敖广,西游记
西游记_人物_丫鬟_0,丫鬟,人物,[{'101': '殷温娇的心腹丫鬟，随夫人去金山寺还愿，先行通报。'}],[],西游记
西游记_人物_丹桂_0,丹桂,人物,[{'64': '丹桂树精，化作青衣女童或黄衣女童，侍奉茶点。'}],[],西游记
西游记_人物_丹青_0,丹青,人物,[{'40': '画师，被乌鸡国国王传召，画出唐僧师徒四位喜容，供养在金銮殿上。'}],[],西游记
西游记_人物_乌巢禅师_0,乌巢禅师,人物,"[{'19': '在浮屠山修行的一位禅师，住在柴草窝中。他认得猪八戒和唐僧，传授唐僧《多心经》一卷。'}, {'32': '传授《心经》的和尚，曾言“心无挂碍，无挂碍，方无恐怖”。'}, {'43': '浮屠山的禅师，曾口授唐僧《多心经》。本回中由唐僧提及。'}, {'85': '传授《多心经》给唐僧的禅师，被孙悟空提及。'}, {'93': '传授唐僧《般若心经》的禅师。唐僧时常念诵此经。'}]",乌巢和尚,西游记
西游记_人物_乌鸡国国王_0,乌鸡国国王,人物,"[{'37': '乌鸡国的君主，三年前被全真推入御花园八角琉璃井中害死，化为冤魂托梦给唐三藏，请求孙悟空降妖。又称冤魂、陛下、那人。'}, {'38': '乌鸡国国君，三年前被妖精推入御花园八角琉璃井中淹死，尸首被井龙王用定颜珠定住。后托梦给唐僧请求降妖，并给太子金厢白玉圭作为表记。'}, {'39': '乌鸡国的君主，三年前被妖精（狮猁王）推入八角琉璃井中害死，鬼魂向唐僧求救。后被孙悟空用九转还魂丹救活，重回王位。'}, {'40': '乌鸡国国王，曾被救回生，称孤道寡，感恩唐僧师徒，送行时泪汪汪。'}]","乌鸡国王,国王",西游记
西游记_人物_乌鸡国太子_0,乌鸡国太子,人物,"[{'37': '乌鸡国国王的亲生储君，三年来被妖魔隔绝与母后相见。出城打猎时被孙悟空引到宝林寺，得知父王冤情。又称殿下。'}, {'38': '乌鸡国太子，国王之子。在城外打猎时偶遇唐僧师徒，得知父王被害真相，前往后宫询问母亲，确认妖精篡位后，请求孙悟空降妖。'}, {'39': '乌鸡国的太子，在朝堂上为唐僧师徒求情，阻止妖精（狮猁王）当场杀害他们，间接帮助了孙悟空。'}, {'40': '乌鸡国太子，随国王、妃后一同送别唐僧师徒。'}]","乌鸡国王太子,太子",西游记
西游记_人物_九天应元天尊_0,九天应元天尊,人物,[{'87': '九天应元府天尊，掌管雷部。应行者请求差邓辛张陶及闪电娘子下降凤仙郡声雷。'}],[],西游记
西游记_人物_九天荡魔祖师_0,九天荡魔祖师,人物,[{'18': '被提及的神祇，猪刚鬣称曾与他做过相识，下界也不怕。'}],[],西游记
