head_id,tail_id,type,description,source_relationship_type,book
三国演义_人物_司马昭_0,三国演义_人物_胡遵_0,上下级,[{'80': '司马昭为大都督，令胡遵为先锋'}],人物与人物,三国演义
三国演义_人物_赵云_0,三国演义_人物_阿斗_0,上下级,[{'43': '赵云为刘备部将，曾在当阳长坂坡救出阿斗，此次又夺回阿斗'}],人物与人物,三国演义
三国演义_人物_越吉_0,三国演义_物品_宝雕弓_1,持有,[{'69': '越吉腰悬宝雕弓，武勇上阵'}],人物与物品,三国演义
三国演义_人物_吕布_0,三国演义_物品_谢表_0,持有,[{'12': '吕布遣陈登赍谢表至许都'}],人物与物品,三国演义
三国演义_人物_孙坚_0,三国演义_物品_传国玉玺_0,持有,[{'11': '孙坚留下传国玉玺'}],人物与物品,三国演义
三国演义_人物_十常侍_0,三国演义_人物_张让_0,归属,[{'1': '张让是十常侍之一，灵帝呼为阿父'}],人物与组织,三国演义
三国演义_人物_尹楷_0,三国演义_地点_毛城_0,守护,[{'24': '尹楷屯兵毛城通上党粮道。'}],人物与地点,三国演义
三国演义_人物_曹操_0,三国演义_人物_黄盖_0,对立,[{'34': '黄盖诈降火攻曹营，曹操中计后遭追击。'}],人物与人物,三国演义
三国演义_人物_庞统_0,三国演义_人物_曹操_0,对立,[{'39': '庞统在赤壁之战中献连环策，助孙刘联军火攻破曹，使曹操大败'}],人物与人物,三国演义
三国演义_人物_孙皓_0,三国演义_地点_武昌_0,居住,[{'88': '孙皓曾居武昌，百姓苦于供给'}],人物与地点,三国演义
三国演义_人物_曹丕_0,三国演义_物品_传国玉玺_0,持有,[{'56': '献帝亲捧玉玺奉曹丕，曹丕受之。'}],人物与物品,三国演义
三国演义_人物_刘备_0,三国演义_人物_陈登_0,上下级,[{'8': '陈登为刘备幕官。'}],人物与人物,三国演义
三国演义_人物_吕布_0,三国演义_物品_诏书_1,持有,[{'12': '汉帝诏封吕布为平东将军'}],人物与物品,三国演义
三国演义_人物_诸葛亮_0,三国演义_技能_步罡踏斗_0,掌握,[{'76': '孔明仗剑步罡祷祝，使用此法。'}],人物与技能,三国演义
三国演义_人物_孙权_0,三国演义_组织_吴军_0,领导,[{'49': '孙权率领吴军攻皖城及合淝。'}],人物与组织,三国演义
三国演义_人物_张飞_0,三国演义_物品_粮草_5,持有,[{'52': '张飞尽夺曹操粮草车辆'}],人物与物品,三国演义
三国演义_人物_张允_0,三国演义_人物_曹操_0,上下级,"[{'29': '曹操加封张允为助顺侯、水军副都督。'}, {'32': '曹操使张允为水军都督，后下令斩之'}]",人物与人物,三国演义
三国演义_人物_张鲁_0,三国演义_组织_汉中军_0,领导,[{'49': '张鲁统领汉中军与曹操相拒。'}],人物与组织,三国演义
三国演义_人物_曹操_0,三国演义_人物_董贵妃_0,对立,[{'17': '曹操勒死已有身孕的董贵妃'}],人物与人物,三国演义
三国演义_人物_张飞_0,三国演义_地点_荆州_0,守护,[{'36': '张飞星夜去替关羽守荆州'}],人物与地点,三国演义
三国演义_人物_曹操_0,三国演义_人物_赵彦_0,对立,[{'15': '赵彦上疏弹劾曹操专横，被曹操收杀。'}],人物与人物,三国演义
三国演义_地点_羌_0,三国演义_组织_刘备军_0,合作,[{'81': '姜维遣郤正赍金珠蜀锦入羌，羌王迷当起兵五万助蜀'}],组织与组织,三国演义
