head_id,tail_id,type,description,source_relationship_type,book
西游记_人物_唐三藏_0,西游记_人物_车迟国国王_0,上下级,[{'45': '国王召见唐三藏，唐僧以臣礼进见'}],人物与人物,西游记
西游记_人物_木叉行者_0,西游记_人物_孙悟空_0,对立,[{'6': '惠岸行者奉师命打探军情，与齐天大圣交战五六十合败阵。'}],人物与人物,西游记
西游记_地点_普陀山_0,西游记_地点_紫竹林_0,隶属,[{'22': '普陀山上有紫竹林，行者到此时诸天相迎。'}],地点与地点,西游记
西游记_地点_洪江_0,西游记_地点_龙宫_0,隶属,[{'101': '龙宫位于洪江之中，属于洪江水域。'}],地点与地点,西游记
西游记_人物_唐三藏_0,西游记_人物_陈清_0,亲密,[{'99': '陈清摆香案迎接唐僧，拜谢救女之恩。'}],人物与人物,西游记
西游记_人物_孙悟空_0,西游记_物品_九转金丹_0,持有,[{'5': '大圣将兜率宫丹房内五个葫芦中的九转金丹倾出吃尽。'}],人物与物品,西游记
西游记_人物_孙悟空_0,西游记_人物_混世魔王_0,对立,"[{'2': '孙悟空杀死欺压花果山众猴的混世魔王。'}, {'3': '孙悟空剿灭了混世魔王，夺其大刀。'}]",人物与人物,西游记
西游记_人物_院主_1,西游记_地点_镇海禅林寺_0,居住,[{'81': '院主是镇海禅林寺的喇嘛僧，常住寺中。'}],人物与地点,西游记
西游记_人物_六丁六甲_0,西游记_组织_护教诸神_0,归属,[{'30': '丁甲是护教诸神之一，在半空中护佑唐僧。'}],人物与组织,西游记
西游记_人物_孙悟空_0,西游记_技能_呼龙使圣之法_0,掌握,[{'46': '国王见孙行者有呼龙使圣之法，孙行者确实念咒唤来北海龙王'}],人物与技能,西游记
西游记_人物_唐三藏_0,西游记_人物_蝎子精_0,对立,[{'55': '蝎子精将唐三藏摄去琵琶洞，逼其成亲，唐僧不从。'}],人物与人物,西游记
西游记_人物_孙悟空_0,西游记_人物_观世音菩萨_0,合作,[{'17': '孙行者请求观世音相助收伏熊罴怪，菩萨同往黑风山。'}],人物与人物,西游记
西游记_人物_东海龙王敖广_0,西游记_人物_龙女_0,亲属,[{'3': '龙女是敖广的女儿，与龙婆一同建议。'}],人物与人物,西游记
西游记_人物_孙悟空_0,西游记_组织_二十八宿_0,合作,[{'65': '二十八宿奉玉帝旨意下界，用兵器掀抬金铙，亢金龙用角钻入，助孙悟空脱困，后共同与黄眉老佛交战。'}],人物与组织,西游记
西游记_人物_二王子_0,西游记_人物_沙悟净_0,上下级,[{'90': '沙僧收二王子为徒，传授武艺'}],人物与人物,西游记
