id,type,description,book
三国演义_人物_丁仪_0,人物,"实体名：丁仪
实体描述：
- 字正礼，沛郡人，文士，与丁廙兄弟二人助曹植，被曹丕诛戮。",三国演义
三国演义_人物_丁原_0,人物,"实体名：丁原
实体描述：
- 字建阳，又称丁建阳。荆州刺史，反对董卓废立，被义子吕布杀害。",三国演义
三国演义_人物_丁咸_0,人物,"实体名：丁咸
实体描述：
- 蜀汉左护军，笃信中郎将。",三国演义
三国演义_人物_丁夫人_0,人物,"实体名：丁夫人
实体描述：
- 曹操大妻，无出，后被黜。",三国演义
三国演义_人物_丁奉_0,人物,"实体名：丁奉
实体描述：
- 字承渊，庐江人，孙权部下良将。
- 东吴护军校尉，从旱路去南屏山捉诸葛亮，未果。
- 东吴将领。随周瑜攻南郡，救周瑜脱险。
- 东吴将领，与徐盛一同拦截刘备，后飞报周瑜。
- 东吴将领，随周瑜为第二队。
- 东吴将领，参与袭取荆州，被关平杀退。
- 东吴将领，被陆逊命为护卫。
- 东吴将领，与徐盛一同接应淳于丹，后围困傅彤，劝降被拒。
- 东吴将领，受徐盛密计引兵接应孙韶，射中张辽，与孙韶夺得无数马匹器械。
- 吴国平北将军，雪中奋短兵，大破魏军于东兴，后随诸葛恪伐魏。
- 老将，计略过人，献计于腊日大会群臣擒孙綝，后重加封赏。
- 东吴将领，被任为主帅率兵五万救蜀。
- 吴国老将，见蜀亡收兵还吴，后总督沿江兵马防魏。
- 吴将，被加封为右大司马，后病死。",三国演义
三国演义_人物_丁封_0,人物,"实体名：丁封
实体描述：
- 东吴副将，与孙异引兵二万向沔中而进。",三国演义
三国演义_人物_丁廙_0,人物,"实体名：丁廙
实体描述：
- 字敬礼，沛郡人，文士，与丁仪一同被诛。",三国演义
三国演义_人物_丁斐_0,人物,"实体名：丁斐
实体描述：
- 渭南县令。放牛马诱西凉兵，助曹操脱险，后被封典军校尉。",三国演义
三国演义_人物_丁管_0,人物,"实体名：丁管
实体描述：
- 尚书，怒斥董卓废立，以象简击卓，被斩。",三国演义
三国演义_人物_丁谧_0,人物,"实体名：丁谧
实体描述：
- 字彦靖，曹爽门客。
- 曹爽心腹，与何晏等同谋篡逆，被斩。",三国演义
三国演义_人物_万彧_0,人物,"实体名：万彧
实体描述：
- 吴左典军，建议立孙皓为君，后任右丞相，因谏孙皓被杀害。",三国演义
三国演义_人物_万政_0,人物,"实体名：万政
实体描述：
- 魏国将领，郭淮部将，被赵云一箭射中盔缨，惊跌于涧中。",三国演义
三国演义_人物_上帝_0,人物,"实体名：上帝
实体描述：
- 上帝，命令南方火德星君往烧糜竺家。",三国演义
三国演义_人物_丘建_0,人物,"实体名：丘建
实体描述：
- 魏大将，在钟会帐下。
- 钟会心腹将，原为胡烈部下，密报胡烈钟会谋反。",三国演义
三国演义_人物_丘本_0,人物,"实体名：丘本
实体描述：
- 监军，劝邓艾作书诱降诸葛瞻，后谏勿轻出。",三国演义
三国演义_人物_严君平_0,人物,"实体名：严君平
实体描述：
- 西汉隐士，善卜，张松称蜀中有君平之隐。",三国演义
三国演义_人物_严峻_0,人物,"实体名：严峻
实体描述：
- 东吴谋士，问诸葛亮治何经典，被诸葛亮以腐儒之说驳斥，低头丧气。",三国演义
三国演义_人物_严政_0,人物,"实体名：严政
实体描述：
- 张宝部将，刺杀张宝，献首投降朱儁。",三国演义
三国演义_人物_严氏_0,人物,"实体名：严氏
实体描述：
- 吕布正妻，生有一女，吕布最钟爱。支持将女儿许配袁术之子，认为可保徐州无忧。
- 吕布之妻。本篇中劝阻吕布出城驻兵，称恐被抛弃，使吕布犹豫不决。",三国演义
三国演义_人物_严畯_0,人物,"实体名：严畯
实体描述：
- 字曼才，彭城人，至江东被孙权敬礼。",三国演义
三国演义_人物_严白虎_0,人物,"实体名：严白虎
实体描述：
- 自称东吴德王，据吴郡，与孙策交战，弟严舆，求和不成，弃城而走，后奔余杭、会稽。",三国演义
三国演义_人物_严纲_0,人物,"实体名：严纲
实体描述：
- 公孙瓒部将，任先锋，被麴义斩于马下。",三国演义
三国演义_人物_严舆_0,人物,"实体名：严舆
实体描述：
- 严白虎之弟，出城求和，欲与孙策平分江东，被孙策飞剑砍杀。",三国演义
三国演义_人物_严颜_0,人物,"实体名：严颜
实体描述：
- 巴郡太守，蜀中名将，善开硬弓，使大刀。坚守不降，被张飞设计生擒，感其恩义而降。
- 原刘璋部将，后被张飞义释而投降。为前部劝降各关隘，助张飞长驱大进，又参与攻打雒城，引兵冲杀张任。
- 蜀汉老将，原为刘璋部将，被张飞义释；后与黄忠同取天荡山，埋伏放火，斩夏侯德。
- 蜀汉老将，往巴西阆中守隘，替张飞、魏延同取汉中。",三国演义
三国演义_人物_乌桓触_0,人物,"实体名：乌桓触
实体描述：
- 幽州刺史，聚众歃血背袁向曹，出城降操，被加为镇北将军。",三国演义
三国演义_人物_乐就_0,人物,"实体名：乐就
实体描述：
- 袁术麾下催进使，后守寿春被生擒斩首。",三国演义
三国演义_人物_乐毅_0,人物,"实体名：乐毅
实体描述：
- 战国时期名将，诸葛亮常自比乐毅。
- 战国燕将，扶持微弱之燕，下齐七十余城，被张昭拿来与诸葛亮对比。",三国演义
三国演义_人物_乐綝_0,人物,"实体名：乐綝
实体描述：
- 魏国副先锋，乐进之子，与张虎同守头营，被蜀军击败。
- 魏国将领，随戴陵入阵被缚。
- 魏国将领，与张虎同行动。
- 魏国将领，与张虎一同救应司马懿。
- 魏将，参与围困公孙渊。
- 魏扬州刺史，司马昭密书与之，被诸葛诞斩杀。",三国演义
三国演义_人物_乐进_0,人物,"实体名：乐进
实体描述：
- 字文谦，阳平卫国人。投奔曹操，被留为帐前吏。
- 曹操部将，出战臧霸，战三十余合不分胜负，后与夏侯惇双战吕布不往。
- 曹操部将，随军入城，后射死成廉，参与攻打吕布。
- 曹操部将，随曹洪见驾，后为校尉。
- 曹操部将，随曹操收残兵。
- 曹操部将，参与围攻张飞，与徐晃夹击。
- 曹操部将，在左队为第四队，后杀出截击袁绍，并围住张飞。
- 曹操将领，与李典引兵半路截杀袁尚救军。
- 曹操部将。射杀郭图，后攻并州，夺壶关。
- 曹操部将，至长坂桥见张飞不敢近前。
- 曹操部将，任左军青旗。
- 曹操部将。与李典共守合淝，为副将。
- 曹军大将，单骑突袭孙权，砍断宋谦、贾华画戟。
- 曹操部将，引兵至青泥镇。
- 曹操部将，字文谦，守合淝，与甘宁交锋诈败。
- 曹魏将领，与凌统斗五十合，被暗箭射中面门。
- 魏国已故将领，乐綝之父，文本中提及。",三国演义
三国演义_人物_乔公_0,人物,"实体名：乔公
别名：乔国老
实体描述：
- 江东二乔之父，孔明建议周瑜以千金买二乔送曹操。
- 二乔之父，与曹操至契（提及）。
- 二乔之父，居于南徐，助刘备促成婚事，劝吴国太真招刘备为婿，在甘露寺中为刘备说话。",三国演义
三国演义_人物_乔瑁_0,人物,"实体名：乔瑁
实体描述：
- 东郡太守。随八路诸侯战虎牢。后被刘岱杀死。",三国演义
三国演义_人物_二皇子_0,人物,"实体名：二皇子
实体描述：
- 汉献帝的两位皇子，被曹操所害，死后魂魄索命。",三国演义
三国演义_人物_于吉_0,人物,"实体名：于吉
实体描述：
- 自称琅琊宫道士，得神书《太平青领道》，普施符水救人，被百姓呼为神仙。因被孙策视为妖人而遭斩杀，死后显灵惊扰孙策。",三国演义
